Category,Component,Quantity,Estimated Cost,Buy Link
Frame,ZD850 Carbon Fiber Hexacopter Frame,1,"₹15,000–₹16,000",https://robocraze.com/ or robu.in
Frame (Budget),F550 Hexacopter Frame,1,"₹1,200–₹1,500",https://robocraze.com/ or amazon.in
Motor,A2212 1000KV Brushless Motor,6,₹400–₹600 each,https://robu.in/
ESC,30A BLHeli ESC,6,₹300–₹500 each,https://robu.in/
Flight Controller,Pixhawk 2.4.8,1,"₹5,000–₹6,000",https://robu.in/
Transmitter,FlySky FS-i6,1,"₹4,000–₹5,000",https://amazon.in/
Battery,LiPo 4S 5000–10000mAh,1,"₹4,000–₹8,000",https://robu.in/
PDB,XT60 Power Distribution Board,1,₹300–₹600,https://robu.in/
BEC,5V 10–20A BEC,1,"₹500–₹1,500",https://robu.in/
Microcontroller,NodeMCU ESP8266,1,₹200–₹400,https://amazon.in/
Servo Driver,PCA9685 16-Channel Driver,1,₹200–₹400,https://amazon.in/
Servo,MG996R Metal Gear Servo,4–8,₹250–₹400 each,https://amazon.in/
Props,10–13 inch Propellers,3 pairs,₹300–₹800,https://robu.in/
Hardware,"M3 Bolts, Nuts, Dampers",Set,"₹500–₹1,000",Local/online
3D Print Material,PLA/PETG/TPU,As needed,"₹500–₹2,000",Local/online
